id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1077430,1314167,2500,2500,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077430,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-99,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,Apr-13,119.66,,Sep-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1072053,1288686,3000,3000,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1072053,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,Jan-07,2,,,4,0,8221,87.5,4,f,0,0,3938.144334,3938.14,3000,938.14,0,0,0,Jan-15,111.34,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069243,1304116,12000,12000,12000, 36 months,15.96,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,Dec-11,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069243,,car,Car Loan,914xx,CA,20.88,0,Oct-06,2,,,11,0,15793,90.8,11,f,0,0,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,Aug-12,421.65,,Dec-12,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1041756,1272024,4500,4500,4475, 60 months,10.65,97.06,B,B2,barnes distribution,< 1 year,MORTGAGE,42000,Source Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1041756,  Borrower added on 12/20/11 > The loan is to be used on buying a classic car at a very reduced price of the actual worth.<br>,car,Car Loan,750xx,TX,5.4,0,Feb-83,0,,,4,0,8220,78.3,9,f,0,0,4907.8,4880.55,4500,407.8,0,0,0,Dec-12,3946.24,,Dec-12,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1068350,1302971,3500,3500,3500, 36 months,6.03,106.53,A,A1,J&J Steel Inc,10+ years,MORTGAGE,83000,Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1068350,  Borrower added on 12/14/11 > 1993 jeep wrangler<br>,car,Car Loan,614xx,IL,2.31,0,Jan-86,0,35,,6,0,3092,13.4,28,f,0,0,3834.66085,3834.66,3500,334.66,0,0,0,Jan-15,107.86,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1062608,1294481,8000,8000,8000, 36 months,14.65,275.96,C,C3,Studio 94 Corp,3 years,RENT,28000,Not Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062608,  Borrower added on 12/13/11 > Car and credit refinancing<br>,car,Car Loan,925xx,CA,12.6,0,Sep-06,1,,,8,0,6187,54.3,11,f,0,0,8636.82,8636.82,8000,636.82,0,0,0,Aug-12,6983.56,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1067441,1301833,6000,6000,6000, 36 months,14.27,205.86,C,C2,American Airlines,10+ years,MORTGAGE,94800,Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1067441,"The car has been offered to us for an exceptionally attractive price. The mileage is low and the vehicle has been meticulously maintained.  We pay our bills on time and my job is stable.  Income shown is base salary only, and does not include an estimate for incentive compensation for 2012.  <br>  Borrower added on 12/15/11 > Thank you for your trust and investment.  I will meet my obligations.<br><br> Borrower added on 12/15/11 > Thanks for your trust and investment.<br><br> Borrower added on 12/16/11 > Thank you for your trust and investment.<br>",car,Auto Loan,760xx,TX,24.53,0,Mar-86,1,,,13,0,71890,95.9,30,f,0,0,7215.05,7215.05,6000,1215.05,0,0,0,Dec-13,1960.88,,Jun-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1066424,1291243,5500,5500,5500, 36 months,7.9,172.1,A,A4,SCI Mahanoy,10+ years,OWN,59000,Source Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066424,"  Borrower added on 12/14/11 > I have a steady job where i have been for over 17yrs, with a good income. I plan on using the funds to purchase a vehicle.<br><br>  Borrower added on 12/15/11 > I see i put purchase in my previous statement. Sorry for the typo, but i'm trying to refinance my current loan to lower both my interest rate and payment, and with this lending club loan it does. Hope this helps. <br>",car,Car Loan,187xx,PA,6.65,0,Oct-91,0,35,52,10,1,9130,43.3,23,f,0,0,6171.267137,6171.27,5500,671.27,0,0,0,Jul-14,1186.09,,Jul-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065254,1299335,24000,24000,24000, 36 months,8.9,762.08,A,A5,Tech Data Corp,10+ years,MORTGAGE,116400,Verified,Dec-11,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065254,,car,Car loan and pay off my family,336xx,FL,3.94,0,Dec-92,4,,,14,0,3885,8.1,31,f,0,0,8649.71,8649.71,6036.95,1580.45,0,1032.31,10.25,Oct-12,762.08,,Jun-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064589,1298401,4125,4125,4125, 60 months,12.69,93.21,B,B5,teltow contracting,10+ years,MORTGAGE,36000,Not Verified,Dec-11,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1064589,"  Borrower added on 12/10/11 > Need to buy a used vehicle on ebay. Thanks<br> Borrower added on 12/11/11 > I really need 5,000 to borrow if it's possible if not the original loan will just have to do. Thanks<br><br>",car,person to person,480xx,MI,17.73,0,Sep-02,4,38,,5,0,5346,37.6,21,f,1054.59,1054.59,4457.96,4457.96,3070.41,1387.55,0,0,0,Dec-15,93.21,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1057766,1289131,5400,5400,5400, 36 months,12.69,181.15,B,B5,Ericsson,10+ years,MORTGAGE,75000,Not Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1057766,  Borrower added on 12/09/11 > Motorcycle<br>,car,Motorcycle,773xx,TX,8.8,0,Jan-92,0,31,,6,0,10376,68.7,33,f,0,0,6273.69,6273.69,5400,873.69,0,0,0,Aug-13,2844.38,,Sep-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
